2025-05-16 20:48:11.711 | INFO     | src.audio_handler:capture_audio:23 - Capturing audio...
2025-05-16 20:48:31.473 | INFO     | src.audio_handler:capture_audio:43 - Captured audio length: 630784 bytes
2025-05-16 20:49:03.548 | ERROR    | __main__:main:77 - API error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=30)
2025-05-16 20:49:06.811 | INFO     | src.audio_handler:play_audio:61 - Playing audio...
2025-05-16 20:49:08.305 | INFO     | src.audio_handler:play_audio:71 - Audio playback completed.
2025-05-16 20:49:08.507 | INFO     | src.audio_handler:capture_audio:23 - Capturing audio...
2025-05-16 20:49:26.481 | INFO     | src.audio_handler:capture_audio:43 - Captured audio length: 573440 bytes
2025-05-16 20:49:48.819 | ERROR    | __main__:main:77 - API error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /process (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002266890D390>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:50:11.251 | ERROR    | __main__:main:88 - TTS fallback error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /tts (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002266890DAB0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:50:34.574 | ERROR    | __main__:main:88 - TTS fallback error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /tts (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002266890E4A0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:50:57.905 | ERROR    | __main__:main:88 - TTS fallback error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /tts (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002266890EE90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:50:59.104 | INFO     | src.audio_handler:capture_audio:23 - Capturing audio...
2025-05-16 20:51:11.908 | INFO     | src.audio_handler:capture_audio:43 - Captured audio length: 407552 bytes
2025-05-16 20:51:34.296 | ERROR    | __main__:main:77 - API error: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /process (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002266890EB60>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-05-16 20:51:56.625 | INFO     | __main__:main:92 - Shutting down voice assistant.
2025-05-16 20:53:51.535 | INFO     | src.audio_handler:__init__:14 - Available audio devices:
2025-05-16 20:53:51.537 | INFO     | src.audio_handler:__init__:17 - Device 0: Microsoft Sound Mapper - Input, Output Channels: 0
2025-05-16 20:53:51.538 | INFO     | src.audio_handler:__init__:17 - Device 1: Microphone Array (Realtek High , Output Channels: 0
2025-05-16 20:53:51.539 | INFO     | src.audio_handler:__init__:17 - Device 2: Microsoft Sound Mapper - Output, Output Channels: 2
2025-05-16 20:53:51.540 | INFO     | src.audio_handler:__init__:17 - Device 3: Speaker/HP (Realtek High Defini, Output Channels: 2
2025-05-16 20:53:51.540 | INFO     | src.audio_handler:__init__:17 - Device 4: Primary Sound Capture Driver, Output Channels: 0
2025-05-16 20:53:51.541 | INFO     | src.audio_handler:__init__:17 - Device 5: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 20:53:51.541 | INFO     | src.audio_handler:__init__:17 - Device 6: Primary Sound Driver, Output Channels: 2
2025-05-16 20:53:51.543 | INFO     | src.audio_handler:__init__:17 - Device 7: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 20:53:51.543 | INFO     | src.audio_handler:__init__:17 - Device 8: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 20:53:51.544 | INFO     | src.audio_handler:__init__:17 - Device 9: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 20:53:51.546 | INFO     | src.audio_handler:__init__:17 - Device 10: Microphone Array (Realtek HD Audio Mic input), Output Channels: 0
2025-05-16 20:53:51.547 | INFO     | src.audio_handler:__init__:17 - Device 11: Speakers (Realtek HD Audio output), Output Channels: 2
2025-05-16 20:53:51.547 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 20:53:53.638 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 20:53:53.639 | INFO     | __main__:main:43 - Voice assistant started. Initiating outbound call flow.
2025-05-16 20:53:58.861 | INFO     | src.audio_handler:play_audio:76 - Playing audio...
2025-05-16 20:53:58.861 | INFO     | src.audio_handler:play_audio:79 - Using output device index: 3
2025-05-16 20:54:00.851 | INFO     | src.audio_handler:play_audio:90 - Audio playback completed.
2025-05-16 20:54:00.851 | INFO     | __main__:main:56 - Played initial prompt.
2025-05-16 20:54:01.151 | INFO     | src.audio_handler:capture_audio:28 - Capturing audio...
2025-05-16 20:54:23.339 | INFO     | src.audio_handler:capture_audio:48 - Captured audio length: 708608 bytes
2025-05-16 20:54:55.389 | ERROR    | __main__:main:77 - API error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=30)
2025-05-16 20:55:00.643 | INFO     | src.audio_handler:play_audio:76 - Playing audio...
2025-05-16 20:55:00.646 | INFO     | src.audio_handler:play_audio:79 - Using output device index: 3
2025-05-16 20:55:01.909 | INFO     | src.audio_handler:play_audio:90 - Audio playback completed.
2025-05-16 20:55:02.356 | INFO     | __main__:main:92 - Shutting down voice assistant.
2025-05-16 21:00:52.913 | INFO     | src.audio_handler:__init__:11 - Available audio devices:
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 0: Microsoft Sound Mapper - Input, Output Channels: 0
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 1: Microphone Array (Realtek High , Output Channels: 0
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 2: Microsoft Sound Mapper - Output, Output Channels: 2
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 3: Speaker/HP (Realtek High Defini, Output Channels: 2
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 4: Primary Sound Capture Driver, Output Channels: 0
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 5: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 6: Primary Sound Driver, Output Channels: 2
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 7: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 8: Speaker/HP (Realtek High Definition Audio), Output Channels: 2
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 9: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 10: Microphone Array (Realtek HD Audio Mic input), Output Channels: 0
2025-05-16 21:00:52.929 | INFO     | src.audio_handler:__init__:14 - Device 11: Speakers (Realtek HD Audio output), Output Channels: 2
2025-05-16 21:00:52.929 | INFO     | __main__:main:27 - Checking FastAPI server health...
2025-05-16 21:00:55.090 | INFO     | __main__:main:30 - FastAPI server is running.
2025-05-16 21:00:55.090 | INFO     | __main__:main:43 - Voice assistant started. Initiating real-time conversation.
2025-05-16 21:00:58.617 | INFO     | src.audio_handler:play_audio:53 - Playing audio...
2025-05-16 21:00:58.617 | INFO     | src.audio_handler:play_audio:56 - Attempting playback on device index: 3
2025-05-16 21:01:00.901 | INFO     | src.audio_handler:play_audio:67 - Audio playback completed.
2025-05-16 21:01:01.189 | INFO     | src.audio_handler:capture_audio:25 - Capturing audio...
2025-05-16 21:01:18.696 | INFO     | src.audio_handler:capture_audio:45 - Captured audio length: 559104 bytes
2025-05-16 21:01:50.793 | ERROR    | __main__:main:74 - API error: HTTPConnectionPool(host='localhost', port=8000): Read timed out. (read timeout=30)
2025-05-16 21:01:55.071 | INFO     | src.audio_handler:play_audio:53 - Playing audio...
2025-05-16 21:01:55.071 | INFO     | src.audio_handler:play_audio:56 - Attempting playback on device index: 3
2025-05-16 21:01:56.597 | INFO     | src.audio_handler:play_audio:67 - Audio playback completed.
2025-05-16 21:01:56.793 | INFO     | src.audio_handler:capture_audio:25 - Capturing audio...
2025-05-16 21:02:08.528 | INFO     | __main__:main:89 - Shutting down voice assistant.
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:13 - Available audio devices:
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 0: Microsoft Sound Mapper - Input, Output Channels: 0
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 1: Microphone Array (Realtek High , Output Channels: 0
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 2: Microsoft Sound Mapper - Output, Output Channels: 2
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 3: Speaker/HP (Realtek High Defini, Output Channels: 2
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 4: Primary Sound Capture Driver, Output Channels: 0
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 5: Microphone Array (Realtek High Definition Audio), Output Channels: 0
2025-05-16 22:13:01.183 | INFO     | src.audio_handler:__init__:17 - Device 6: Primary Sound Driver, Output Channels: 2
